Stock name,Symbol,Link,Scrap_Link
Sunflag Iron And Steel Company Limited,SUNFLAG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUNFLAG""",https://in.tradingview.com/symbols/NSE-SUNFLAG/news/
Sun Pharmaceuticals Industries Limited,SUNPHARMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUNPHARMA""",https://in.tradingview.com/symbols/NSE-SUNPHARMA/news/
Sunteck Realty Limited,SUNTECK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUNTECK""",https://in.tradingview.com/symbols/NSE-SUNTECK/news/
Sun Tv Network Limited,SUNTV,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUNTV""",https://in.tradingview.com/symbols/NSE-SUNTV/news/
Superhouse Limited,SUPERHOUSE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPERHOUSE""",https://in.tradingview.com/symbols/NSE-SUPERHOUSE/news/
Super Spinning Mills Limited,SUPERSPIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPERSPIN""",https://in.tradingview.com/symbols/NSE-SUPERSPIN/news/
Suprajit Engineering Limited,SUPRAJIT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPRAJIT""",https://in.tradingview.com/symbols/NSE-SUPRAJIT/news/
Supreme Holdings & Hospitality Ltd,SUPREME,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPREME""",https://in.tradingview.com/symbols/NSE-SUPREME/news/
Supreme Industries Limited,SUPREMEIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPREMEIND""",https://in.tradingview.com/symbols/NSE-SUPREMEIND/news/
Supreme Infrastructure India Limited,SUPREMEINF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPREMEINF""",https://in.tradingview.com/symbols/NSE-SUPREMEINF/news/
Supriya Lifescience Ltd,SUPRIYA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUPRIYA""",https://in.tradingview.com/symbols/NSE-SUPRIYA/news/
Suraj Estate Developers Ltd,SURAJEST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURAJEST""",https://in.tradingview.com/symbols/NSE-SURAJEST/news/
Suraj Ltd,SURAJLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURAJLTD""",https://in.tradingview.com/symbols/NSE-SURAJLTD/news/
Suraksha Diagnostic Ltd,SURAKSHA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURAKSHA""",https://in.tradingview.com/symbols/NSE-SURAKSHA/news/
Surana Solar Limited,SURANASOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURANASOL""",https://in.tradingview.com/symbols/NSE-SURANASOL/news/
Surana Telecom And Power Limited,SURANAT&P,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURANAT&P""",https://in.tradingview.com/symbols/NSE-SURANAT&P/news/
Suryalakshmi Cotton Mills Limited,SURYALAXMI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURYALAXMI""",https://in.tradingview.com/symbols/NSE-SURYALAXMI/news/
Surya Roshni Limited,SURYAROSNI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURYAROSNI""",https://in.tradingview.com/symbols/NSE-SURYAROSNI/news/
